Trị giá và cơ cấu,Khu vực kinh tế và nhóm hàng,Năm,Giá trị
Cơ cấu (%),Khu vực có vốn đầu tư nước ngoài(*),2003,50.4
Cơ cấu (%),Khu vực có vốn đầu tư nước ngoài(*),2004,54.7
Cơ cấu (%),Khu vực có vốn đầu tư nước ngoài(*),2005,57.2
Cơ cấu (%),Khu vực có vốn đầu tư nước ngoài(*),2006,57.9
Cơ cấu (%),Khu vực có vốn đầu tư nước ngoài(*),2007,57.2
Cơ cấu (%),Khu vực có vốn đầu tư nước ngoài(*),2008,55.1
Cơ cấu (%),Khu vực có vốn đầu tư nước ngoài(*),2009,53.2
Cơ cấu (%),Khu vực có vốn đầu tư nước ngoài(*),2010,54.2
Cơ cấu (%),Khu vực có vốn đầu tư nước ngoài(*),2011,56.9
Cơ cấu (%),Khu vực có vốn đầu tư nước ngoài(*),2012,63.1
Cơ cấu (%),Khu vực có vốn đầu tư nước ngoài(*),2013,66.8
Cơ cấu (%),Khu vực có vốn đầu tư nước ngoài(*),2014,67.4
Cơ cấu (%),Khu vực có vốn đầu tư nước ngoài(*),2015,70.6
Cơ cấu (%),Khu vực có vốn đầu tư nước ngoài(*),2016,71.5
Cơ cấu (%),Khu vực có vốn đầu tư nước ngoài(*),2017,72
Cơ cấu (%),Khu vực có vốn đầu tư nước ngoài(*),2018,71.4
Cơ cấu (%),Khu vực có vốn đầu tư nước ngoài(*),2019,70.11007582018944
Cơ cấu (%),Khu vực có vốn đầu tư nước ngoài(*),2020,72.33231887517604
Cơ cấu (%),Khu vực có vốn đầu tư nước ngoài(*),2021,73.43877063860018
Cơ cấu (%),Khu vực có vốn đầu tư nước ngoài(*),2022,74.2
Cơ cấu (%),Khu vực có vốn đầu tư nước ngoài(*),2023,73
Cơ cấu (%),Khu vực có vốn đầu tư nước ngoài(*),Sơ bộ 2024,71.7
Cơ cấu (%),Nhiên liệu và khoáng sản,1995,
